Gene	Uniprot
AADAT	Q8N5Z0
AAK1	Q2M2I8
ABCA12	Q86UK0
ABCA7	Q8IZY2
ABCB1	P08183
ABCB11	O95342
ABCB4	P21439
ABCB6	Q9NP58
ABCC1	P33527
ABCC3	O15438
ABCC4	O15439
ABCC5	O15440
ABCC6	O95255
ABCG2	Q9UNQ0
ABHD3	Q8WU67
ABI1	Q8IZP0
ABITRAM	Q9NX38
ABLIM3	O94929
ACIN1	Q9UKV3
ACKR3	P25106
ACOT9	Q9Y305
ACTN1	P12814
ACTR10	Q9NZ32
ACTR6	Q9GZN1
ADA	P00813
ADAM10	O14672
ADAM12	O43184
ADAM28	Q9UKQ2
ADAM33	Q9BZ11
ADAMTS1	Q9UHI8
ADAMTS2	O95450
ADAMTSL4	Q6UY14
ADAP1	O75689
ADCK5	Q3MIX3
ADCY7	P51828
ADCY9	O60503
ADD1	P35611
ADD2	P35612
ADD3	Q9UEY8
ADGRA2	Q96PE1
ADGRB2	O60241
ADGRD1	Q6QNK2
ADGRG2	Q8IZP9
ADGRG7	Q96K78
ADGRL2	O95490
ADH1A	P07327
ADH1B	P00325
ADH1C	P00326
ADH7	P40394
ADK	P55263
ADORA1	P30542
ADPRHL1	Q8NDY3
ADRA1B	P35368
ADRM1	Q16186
ADSS2	P30520
AFAP1L2	Q8N4X5
AFDN	P55196
AFM	P43652
AGER	Q15109
AGRN	O00468
AHNAK	Q09666
AHNAK2	Q8IVF2
AIFM2	Q9BRQ8
AJM1	C9J069
AKAP10	O43572
AKAP11	Q9UKA4
AKAP12	Q02952
AKR1B10	O60218
AKR1B15	C9JRZ8
ALDH3A1	P30838
ALK	Q9UM73
ALOX15B	O15296
ALOXE3	Q9BYJ1
ALPG	P10696
ALPI	P09923
ALPP	P05187
AMACR	Q9UHK6
AMDHD1	Q96NU7
AMER1	Q5JTC6
AMER2	Q8N7J2
AMIGO2	Q86SJ2
AMPH	P49418
ANK2	Q01484
ANK3	Q12955
ANKEF1	Q9NU02
ANKFN1	Q8N957
ANKIB1	Q9P2G1
ANKLE2	Q86XL3
ANKRA2	Q9H9E1
ANKRD13A	Q8IZ07
ANKRD30BL	A7E2S9
ANKRD35	Q8N283
ANKRD42	Q8N9B4
ANKRD45	Q5TZF3
ANKS1B	Q7Z6G8
ANO1	Q5XXA6
ANO10	Q9NW15
ANO2	Q9NQ90
ANO6	Q4KMQ2
ANPEP	P15144
ANXA1	P04083
ANXA13	P27216
ANXA2	P07355
ANXA3	P12429
AP2M1	Q96CW1
APBB1	O00213
APBB1IP	Q7Z5R6
APC	P25054
APLP1	P51693
APMAP	Q9HDC9
APOD	P05090
APOLD1	Q96LR9
APPL1	Q9UKG1
AQP1	P29972
AQP10	Q96PS8
AQP11	Q8NBQ7
AQP3	Q92482
AQP4	P55087
AQP5	P55064
ARAF	P10398
ARAP1	Q96P48
ARF1	P84077
ARHGAP15	Q53QZ3
ARHGAP17	Q68EM7
ARHGAP18	Q8N392
ARHGAP19	Q14CB8
ARHGAP21	Q5T5U3
ARHGAP22	Q7Z5H3
ARHGAP23	Q9P227
ARHGAP24	Q8N264
ARHGAP29	Q52LW3
ARHGAP33	O14559
ARHGAP36	Q6ZRI8
ARHGAP40	Q5TG30
ARHGAP45	Q92619
ARHGAP9	Q9BRR9
ARHGDIG	Q99819
