hgnc_symbol,uniprotswissprot
MT-ND1,P03886
MT-ND2,P03891
MT-CO1,P00395
MT-CO2,P00403
MT-ATP8,P03928
MT-ATP6,P00846
MT-CO3,P00414
MT-ND3,P03897
MT-ND4L,P03901
MT-ND4,P03905
MT-ND5,P03915
MT-ND6,P03923
MT-CYB,P00156
"",""
"",P0DMU3
"",Q8WZ33
MAFIP,""
"",P0DP08
C8orf33,Q9H7E9
C8orf33,""
MUC5AC,P98088
MUC2,""
ZSWIM4,Q9H7M6
ZSWIM4,""
NANOS3,P60323
BRME1,""
BRME1,Q0VDD7
CC2D1A,Q6P1N0
CC2D1A,""
PODNL1,""
PODNL1,Q6PEZ8
DCAF15,Q66K64
DCAF15,""
RFX1,P22670
RFX1,""
RLN3,Q8WXF3
RLN3,""
IL27RA,Q6UWB1
PALM3,""
PALM3,A6NDB9
MISP3,""
MISP3,Q96FF7
C19orf67,A6NJJ6
C19orf67,""
PRKACA,P17612
PRKACA,""
ASF1B,Q9NVP2
ASF1B,""
ADGRL1,O94910
ADGRL1,""
SAMD1,Q6SPF0
SAMD1,""
CNTNAP3C,""
RYBP,Q8N488
SYT15B,X6R8R1
SYT15B,""
NPY4R2,P0DQD5
FAM25C,B3EWG5
HMX1,""
HMX1,Q9NP08
PPP2R3B,Q9Y5P8
PPP2R3B,""
IL3RA,P26951
IL3RA,""
P2RY8,Q86VZ1
P2RY8,""
SLC25A6,P12236
DHRSX,Q8N5I4
DHRSX,""
ASMTL,O95671
PLCXD1,Q9NUJ7
PLCXD1,""
ZBED1,O96006
ZBED1,""
CD99,P14209
CD99,""
SHOX,O15266
CRLF2,Q9HC73
CRLF2,""
AKAP17A,Q02040
AKAP17A,""
ASMT,P46597
ASMT,""
CSF2RA,""
CSF2RA,P15509
FAM20C,Q8IXL6
GTPBP6,""
GTPBP6,O43824
VAMP7,P51809
VAMP7,""
WASH6P,""
IL9R,Q01113
IL9R,""
ACR,P10323
ACR,""
SHANK3,""
USP9Y,O00507
USP9Y,""
EIF1AY,O14602
EIF1AY,""
BPY2,""
BPY2,O14599
HSFY2,Q96LI6
GCGR,""
GCGR,P47871
MCRIP1,C9JLW8
MCRIP1,""
PPP1R27,Q86WC6
PPP1R27,""
KDM5D,Q9BY66
KDM5D,""
HSFY1,Q96LI6
TGIF2LY,Q8IUE0
CDY2A,Q9Y6F7
BPY2C,O14599
BPY2C,""
DAZ4,""
DAZ4,Q86SG3
CDY2B,Q9Y6F7
SRY,Q05066
PRAMEF11,O60813
RPS4Y1,P22090
RPS4Y1,""
HNRNPCL1,O60812
PRAMEF2,O60811
PRAMEF4,O60810
PRAMEF10,O60809
ZFY,P08048
ZFY,""
PRAMEF7,Q5VXH5
PRAMEF6,Q5VXH4
PRAMEF27,A3QJZ7
HNRNPCL3,B7ZW38
PRAMEF25,A6NGN4
HNRNPCL2,B2RXH8
DDX3Y,O15523
DDX3Y,""
PRAMEF26,H0Y7S4
HNRNPCL4,P0DMR1
PRAMEF9,""
PRAMEF13,Q5VWM6
PRAMEF13,""
PRAMEF18,Q5VWM3
PRAMEF5,Q5TYX0
PRAMEF8,Q5VWM4
PRAMEF33,A0A0G2JMD5
PRAMEF22,""
UTY,""
UTY,O14607
TMSB4Y,O14604
VCY,O14598
ARHGEF19,Q8IW93
ARHGEF19,""
DAZ3,Q9NR90
DAZ3,""
CPLANE2,Q9BU20
CPLANE2,""
FBXO42,Q6P3S6
FBXO42,""
SZRD1,Q7Z422
SZRD1,""
SPATA21,""
SPATA21,Q7Z572
NECAP2,""
NECAP2,Q9NVZ3
DAZ1,Q9NQZ3
DAZ1,""
AMELY,Q99218
PADI2,Q9Y2J8
TBL1Y,Q9BQ87
TBL1Y,""
NBPF1,""
DAZ2,Q13117
DAZ2,""
NLGN4Y,""
NLGN4Y,Q8NFZ3
VCY1B,O14598
RPS4Y2,Q8TD47
PCDH11Y,Q9BZA8
PCDH11Y,""
CDY1B,Q9Y6F8
BPY2B,""
BPY2B,O14599
CDY1,Q9Y6F8
RBMY1B,A6NDE4
RBMY1B,""
RBMY1A1,P0DJD3
RBMY1A1,""
BCL2L14,Q9BZR8
BCL2L14,""
TSPY4,""
TSPY4,P0CV99
TSPY8,""
TSPY8,P0CW00
TSPY3,P0CV98
TSPY3,""
LRP6,O75581
LRP6,""
MANSC1,Q9H8J5
MANSC1,""
TSPY1,Q01534
TSPY9,A0A494C1R9
BORCS5,Q969J3
BORCS5,""
TSPY10,P0CW01
TSPY10,""
DUSP16,Q9BY84
DUSP16,""
TSPY2,""
TSPY2,A6NKD2
ACTG1,P63261
ACTG1,""
BAHCC1,""
ECSCR,Q19T08
SMIM33,A0A1B0GW64
STING1,Q86WV6
STING1,""
RBMY1D,""
RBMY1D,P0C7P1
RBMY1E,""
RBMY1E,A6NEQ0
RBMY1F,Q15415
RBMY1F,""
RBMY1J,Q15415
TMPRSS15,P98073
TMPRSS15,""
CXADR,P78310
URB1,O60287
KRTAP25-1,Q3LHN0
TSPY9,""
JAM2,P57087
JAM2,""
C1R,""
CLDN17,P56750
KRTAP24-1,Q3LI83
C1RL,""
C1RL,Q9NZP8
RBP5,P82980
RBP5,""
CLSTN3,""
SCAF4,O95104
NCAM2,O15394
NCAM2,""
CLSTN3,Q9BQT9
CLDN8,P56748
MIPEP,Q99797
HUNK,P57058
HUNK,""
C21orf91,Q9NYK6
C21orf91,""
PEX5,""
OR4C12,Q96R67
"",A6NMZ5
KPNA3,O00505
MORC3,Q14149
KPNA3,""
CRYL1,""
MORC3,""
CRYL1,Q9Y2S2
CAB39L,Q9H9S4
CAB39L,""
PAXBP1,Q9Y5B6
DNAJC15,Q9Y5T4
PEX5,P50542
GPR12,P47775
PAXBP1,""
EPCIP,Q9NYP8
COLEC12,Q5KU26
EPCIP,""
WASF3,""
WASF3,Q9UPY6
CHODL,Q9H9P2
CHODL,""
BACH1,""
RAB31,Q13636
RAB31,""
BACH1,O14867
YES1,""
YES1,P07947
OR8J2,""
OR5T2,Q8NGG2
OR5T3,Q8NGG3
OR5T1,Q8NG75
OR8H1,Q8NGG4
NDUFV2,""
OR8H1,""
OR8K3,Q8NH51
ETS2,P15036
ETS2,""
OR8K1,Q8NGG5
OR8J1,Q8NGP2
OR8U8,""
OR8U9,P0C7N5
KCNJ15,""
NDUFV2,P19404
KCNJ15,Q99712
POSTN,Q15063
CELF4,""
CRYZL1,O95825
CRYZL1,""
FNDC3A,Q9Y2H6
FNDC3A,""
CELF4,Q9BZC1
N6AMT1,Q9Y5N5
LHFPL6,Q9Y693
AKAP11,Q9UKA4
ADAMTS5,Q9UNA0
ADAMTS5,""
MZT1,Q08AG7
AKAIN1,""
AKAIN1,P0CW23
SLC14A2,Q15849
C2CD2,""
PROSER1,Q86XN7
SLC14A2,""
PROSER1,""
ERICH6B,Q5W0A0
C2CD2,Q9Y426
RALBP1,Q15311
RALBP1,""
ZBTB21,Q9ULJ3
ZBTB21,""
PIBF1,Q8WXW3
PIBF1,""
CBR1,P16152
CBR1,""
BORA,Q6PGQ7
BORA,""
CBR3,O75828
EVA1C,""
KLHL1,Q9NR64
KLHL1,""
EVA1C,P58658
SS18,Q15532
SS18,""
CFAP298,""
SCEL,""
CFAP298,P57076
CFAP298-TCP10L,""
ANKRD12,""
SCEL,O95171
TCP10L,""
ANKRD12,Q6UB98
TCP10L,Q8TDR4
ARK2N,""
