ABCA5	ABCA8
ACCS	ACCSL
ACACA	ACLY
ACAP3	ACOT7
ABCD1	ACOX1
ACBD5	ACOX1
ACSM1	ACSM2B
ACMSD	ACSS2
ACTR2	ACTR3
ACTL6A	ACTR6
ACTR5	ACTR8
ABHD16A	ACTRT1
ACVR1B	ACVR2A
ACBD4	ADAM11
ABRACL	ADAM23
ADAM2	ADAM32
ACAD8	ADAMTS15
ACRBP	ADAT1
AASDHPPT	ADAT2
ADAT2	ADAT3
ACP3	ADCY3
ACTC1	ADCY7
AARD	ADCY8
ABCB4	ADGRB3
ACSL4	ADIPOR2
ACVR2B	ADM
ABHD17C	ADRA1A
ADGRG2	ADRA1D
ACSBG1	ADRA2C
ACO2	ADSL
ADSL	ADSS2
ADCYAP1R1	AEBP1
ACTR1B	AFF3
ADAM22	AFF3
AFG2A	AFG2B
ADAM29	AGA
AGAP5	AGAP6
ABHD1	AGBL5
ADAM11	AGO1
ADPRS	AGO1
AGO1	AGO3
AGO3	AGO4
ACSL4	AGPAT3
AGR2	AGR3
ACAP3	AGRN
ADAP1	AGRN
ACTA1	AGT
ADGRF3	AGXT
ACTBL2	AGXT2
ADSL	AHCY
ADGRB2	AHDC1
AHR	AIP
AATK	AIRE
ADAT2	AIRIM
AFG2B	AIRIM
AIRIM	AK6
ADGRL2	AKAP4
AKAP8	AKAP8L
ADAM2	AKAP9
AHCYL2	AKR1B15
AKR1B15	AKR1C4
AKR1C4	AKR1D1
ALAD	ALAS1
ADSS2	ALDH18A1
AIRIM	ALG13
ALG1	ALG14
ALG1	ALG2
ALG13	ALG2
ALG14	ALG2
ALG12	ALG3
ALG5	ALG6
ALG5	ALG8
ALG6	ALG8
ALG12	ALG9
ALG3	ALG9
ACSM2A	ALKBH2
ACRV1	ALPP
ACCSL	ALX4
AGAP1	AMOTL2
AJUBA	AMOTL2
AGL	AMY2A
ANAPC13	ANAPC15
ANAPC11	ANAPC2
ANAPC10	ANAPC5
ACR	ANHX
AKAP11	ANK1
ANAPC11	ANKLE2
ADGRG2	ANKMY1
AKAIN1	ANKMY1
AGR3	ANKMY2
ADPRHL1	ANKRD16
ADIRF	ANKRD22
ADAMTS3	ANKRD31
ALOX5	ANKRD31
ACVRL1	ANKRD33
ADCY7	ANKRD33
ADAD1	ANKRD34B
ANKRD31	ANKRD34B
ACTR3B	ANKRD37
AIRIM	ANKRD49
AGO2	ANKRD52
ADAMTSL2	ANKRD61
AMN	ANKRD9
ADAM23	ANO3
ANKLE1	ANO8
ADIPOQ	ANO9
AGPAT2	ANO9
AJAP1	ANOS1
ALPG	ANOS1
ANP32A	ANP32B
ABHD2	ANPEP
ALOX5	ANTXRL
AKR1B10	ANXA7
ANTXRL	ANXA8L1
ABCG8	AP1AR
AFTPH	AP1B1
AFTPH	AP1G1
AP1B1	AP1G1
ADCY4	AP1G2
AFTPH	AP1M1
AP1G1	AP1M1
AP1B1	AP1M2
AP2A1	AP2A2
AGFG1	AP2B1
AAGAB	AP2M1
AP2B1	AP2M1
AAGAB	AP2S1
ADSL	AP2S1
AP2A1	AP2S1
AP2B1	AP2S1
AP2M1	AP2S1
AP3B1	AP3D1
ANXA7	AP3M1
AHCYL2	AP3S2
AKNAD1	AP4B1
ACSM3	AP4S1
ABHD17A	AP5Z1
ANKRD34B	APBB1
ANKHD1	APBB3
ABCA7	APC2
ABR	APC2
ADAMTSL5	APC2
ACOT11	APCDD1
AP4S1	API5
APOA4	APOA5
ABCB4	APOBEC3B
ABCG8	APOBEC3B
ABHD2	APOBEC3B
ACTL10	APOBEC3B
AK3	APOBEC3B
ANKRD30B	APOBEC3B
AP1M2	APOBEC3B
APOC1	APOC2
AP3B2	APOC3
APOC2	APOC4
ANXA2R	APOL2
ANKRD16	APRT
ABHD17C	AQP11
ALKAL2	AQP12B
ANKRD33	AQP2
ADD2	AQP5
ADRA1D	AQP5
AQP2	AQP5
AQP5	AQP6
ABCA1	AREL1
AP3B1	ARFGEF2
AADAT	ARFIP1
ACYP2	ARG2
AMOTL2	ARHGAP21
ALDH3A1	ARHGAP25
APOBEC3B	ARHGAP27
ABCD3	ARHGAP29
ANKRD46	ARHGAP35
ARHGAP26	ARHGAP35
ACTL8	ARHGAP39
AMZ1	ARHGAP39
ADGRL2	ARHGAP5
AQP12B	ARHGDIA
AKAP13	ARHGEF12
ARHGEF12	ARHGEF18
ADRA1D	ARHGEF26
AQP12B	ARHGEF35
ALDH7A1	ARHGEF40
ANKS6	ARHGEF40
ARHGAP23	ARHGEF40
ARHGEF35	ARHGEF5
