location_a,location_b,n_edges,edges_normed,rank,log_edges_normed
Cell Junctions,Cell Junctions,154,4.57353290567831,2,0.660251808096497
Cell Junctions,Endoplasmic reticulum,130,1.64307381193124,39,0.215657073717714
Cell Junctions,Intermediate filaments,37,2.03118137900747,20,0.307748706459909
Cell Junctions,Microtubules,84,2.39016617345777,7,0.378428095804618
Cell Junctions,Nuclear bodies,94,1.71432740005836,31,0.234093766513907
Cell Junctions,Nuclear speckles,103,1.4502140121649,53,0.161432097023881
Cell Junctions,Nucleoli,158,1.50121617512922,48,0.176443235151862
Cell Junctions,Nucleoplasm,1357,1.61026200873362,41,0.206896546646331
Cell Junctions,Plasma membrane,642,2.3800344029895,8,0.376583234754208
Cell Junctions,Vesicles,524,1.91386161757831,24,0.28191053276433
Endoplasmic reticulum,Endoplasmic reticulum,768,4.16327858188323,3,0.619435472267201
Endoplasmic reticulum,Intermediate filaments,70,1.64435048155978,37,0.21599438983712
Endoplasmic reticulum,Microtubules,135,1.64373554121515,38,0.215831945667692
Endoplasmic reticulum,Nuclear bodies,181,1.41251755891993,54,0.149993855213343
Endoplasmic reticulum,Nuclear speckles,242,1.45800698879383,52,0.16375960572909
Endoplasmic reticulum,Nucleoli,514,2.08977069442186,17,0.320098634622665
Endoplasmic reticulum,Nucleoplasm,3246,1.64821773128872,36,0.217014581906757
Endoplasmic reticulum,Plasma membrane,1014,1.60855357086202,42,0.206435529112622
Endoplasmic reticulum,Vesicles,1203,1.88015753938485,26,0.274194240550398
Intermediate filaments,Intermediate filaments,20,2.0614306328592,18,0.314168725373936
Intermediate filaments,Microtubules,43,2.27404939446824,9,0.356799893734309
Intermediate filaments,Nuclear bodies,65,2.20324045827402,13,0.34306189796905
Intermediate filaments,Nuclear speckles,40,1.04673679803213,55,0.0198374920586576
Intermediate filaments,Nucleoli,88,1.55400155400155,46,0.191451448759595
Intermediate filaments,Nucleoplasm,673,1.48427506506109,50,0.171514391622558
Intermediate filaments,Plasma membrane,270,1.8603497457522,27,0.269594599256328
Intermediate filaments,Vesicles,256,1.73780818942109,29,0.24000183950444
Microtubules,Microtubules,112,3.08624965555249,4,0.489431054469625
Microtubules,Nuclear bodies,90,1.58122210899891,44,0.198992878115342
Microtubules,Nuclear speckles,108,1.4648834875078,51,0.165803083567467
Microtubules,Nucleoli,181,1.65672024310768,34,0.219249178828433
Microtubules,Nucleoplasm,1516,1.73300715608496,30,0.238800356044438
Microtubules,Plasma membrane,529,1.88924523045935,25,0.276288334482349
Microtubules,Vesicles,496,1.74520069808028,28,0.24184537803261
Nuclear bodies,Nuclear bodies,238,2.68908322599598,6,0.429604243663044
Nuclear bodies,Nuclear speckles,243,2.11252912334388,16,0.324802704850302
Nuclear bodies,Nucleoli,370,2.17064814380251,14,0.336589431197716
Nuclear bodies,Nucleoplasm,3063,2.24421910260543,10,0.351065254726448
Nuclear bodies,Plasma membrane,677,1.54966717635533,47,0.19023843430378
Nuclear bodies,Vesicles,745,1.68010752688172,33,0.225337077462178
Nuclear speckles,Nuclear speckles,448,3.01460197833255,5,0.479229979817888
Nuclear speckles,Nucleoli,434,1.9656509293815,22,0.293506396047732
Nuclear speckles,Nucleoplasm,3930,2.22300156119194,12,0.346939767699803
Nuclear speckles,Plasma membrane,880,1.55511101372032,45,0.191761397173305
Nuclear speckles,Vesicles,911,1.58609114713912,43,0.200328141091383
Nucleoli,Nucleoli,2086,6.38678309431374,1,0.80528216705164
Nucleoli,Nucleoplasm,5550,2.11851467309983,15,0.326031476325783
Nucleoli,Plasma membrane,1248,1.48827979660176,49,0.172684586248272
Nucleoli,Vesicles,1405,1.6507350176705,35,0.217677364238215
Nucleoplasm,Nucleoplasm,46806,2.23185207578551,11,0.348665406753441
Nucleoplasm,Plasma membrane,11013,1.64023543849825,40,0.214906190914671
Nucleoplasm,Vesicles,11532,1.69213973799127,32,0.228436224502441
Plasma membrane,Plasma membrane,4334,2.0179821110123,21,0.304917311988562
Plasma membrane,Vesicles,4269,1.95699291466796,23,0.291589253288978
Vesicles,Vesicles,4538,2.05092883846382,19,0.311950591817103
