1st species	melanogaster	mississippiensis	taurus	musculus	sapiens	rerio	tropicalis	cerevisiae	discoideum
melanogaster	100.00	64.89	63.66	64.62	64.90	64.46	64.31	58.79	63.64
mississippiensis	64.89	100.00	97.95	97.95	97.95	96.15	95.91	83.54	84.71
taurus	63.66	97.95	100.00	99.30	99.07	97.05	96.94	80.00	84.83
musculus	64.62	97.95	99.30	100.00	99.54	97.43	97.42	80.47	85.39
sapiens	64.90	97.95	99.07	99.54	100.00	97.43	97.42	80.47	85.39
rerio	64.46	96.15	97.05	97.43	97.43	100.00	97.16	82.33	85.96
tropicalis	64.31	95.91	96.94	97.42	97.42	97.16	100.00	82.33	86.52
cerevisiae	58.79	83.54	80.00	80.47	80.47	82.33	82.33	100.00	88.20
discoideum	63.64	84.71	84.83	85.39	85.39	85.96	86.52	88.20	100.00

