# 2025-02-02 00:00:95
# syndrome_name	chr	start	end	genotype	variant_class	phenotype_names	hpo_accessions	pubmed_ids
12q14 microdeletion syndrome	12	64678139	68251745	Heterozygous	Deletion	Intellectual disability|Osteopoikilosis|Proportionate short stature	HP:0001249|HP:0010739|HP:0003508	17220210
15q13.3 microdeletion syndrome	15	30618103	32153206	Heterozygous	Deletion	Abnormality of the face|Intellectual disability|Seizures	HP:0000271|HP:0001249|HP:0001250	18278044
15q24 recurrent microdeletion syndrome	15	74120302	75680570	Heterozygous	Deletion	Abnormality of the face|Hypospadias|Intellectual disability|Joint laxity|Microcephaly|Short stature|Small for gestational age	HP:0000271|HP:0000047|HP:0001249|HP:0001388|HP:0000252|HP:0004322|HP:0001518	17360722|17932688|22180641
15q26 overgrowth syndrome	15	98814741	101981189	Heterozygous	Duplication	Abnormality of the kidney|Intellectual disability|Tall stature	HP:0000077|HP:0001249|HP:0000098	14671200|19133692
16p11.2 microduplication syndrome	16	29595531	30188534	Heterozygous	Duplication			18184952|19855392|19914906
16p11.2-p12.2 microdeletion syndrome	16	21500741	30188533	Heterozygous	Deletion	Abnormality of the face|Feeding difficulties in infancy|Intellectual disability|Pointed chin	HP:0000271|HP:0008872|HP:0001249|HP:0000307	17568417|17704777|19676056|19914906
16p11.2-p12.2 microduplication syndrome	16	21463739	29272756	Heterozygous	Duplication	Abnormal facial shape|Autism|Global developmental delay|Intellectual disability|Microcephaly|Short Stature	HP:0001999|HP:0000717|HP:0001263|HP:0001249|HP:0000252|HP:0004322	11977164|15235033|17704777|20154674|22234155|22828807|24259393
16p13.11 recurrent microdeletion (neurocognitive disorder susceptibility locus)	16	14892827	16392827	Heterozygous	Deletion			17480035|18550696|19843651
16p13.11 recurrent microduplication (neurocognitive disorder susceptibility locus)   	16	14892827	16392827	Heterozygous	Duplication			17480035|18550696|19506092
17q21.31 recurrent microdeletion syndrome (Koolen de Vries syndrome)	17	45627800	46217040	Heterozygous	Deletion	Feeding difficulties in infancy|Intellectual disability|Long face|Muscular hypotonia|Small for gestational age	HP:0008872|HP:0001249|HP:0000276|HP:0001252|HP:0001518	16906162|16906163|16906164|16941003|17576104|18628315|22544363|22544367
1p36 microdeletion syndrome	1	10001	12780116	Heterozygous	Deletion	Deeply set eye|Delayed cranial suture closure|Intellectual disability|Muscular hypotonia|Pointed chin|Seizures	HP:0000490|HP:0000270|HP:0001249|HP:0001252|HP:0000307|HP:0001250	10507720|10755460|11822705|12687501|12974736|17918734
1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)	1	147061832	148411223	Heterozygous	Deletion	Intellectual disability|Microcephaly	HP:0001249|HP:0000252	15117819|16906162|17122850|18668038|18668039|18784092|19029900|22317977
1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)	1	147061832	148411223	Heterozygous	Duplication	Autism|Intellectual disability	HP:0000717|HP:0001249	17122850|17322880|18784092|19029900|22317977
1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome	1	145686997	146048497	Heterozygous	Deletion			17236129
22q11.2 distal deletion syndrome	22	21562828	23380258	Heterozygous	Deletion	Abnormality of the face|Intellectual disability|Short stature|Small for gestational age	HP:0000271|HP:0001249|HP:0004322|HP:0001518	18179902
22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome)	22	19022279	21098156	Heterozygous	Deletion	Abnormality of the heart|Delayed speech and language development|Hypocalcemia|Nasal speech|T lymphocytopenia	HP:0001627|HP:0000750|HP:0002901|HP:0001611|HP:0005403	9350810|11925570|12436034|12765922|14585638|14681306|15831592|16399080
22q11 duplication syndrome	22	19022279	21098156	Heterozygous	Duplication	Intellectual disability|Nasal speech|Telecanthus	HP:0001249|HP:0001611|HP:0000506	14526392|15800846|16007629|17250668|17273972|18414210|18707033
22q13 deletion syndrome (Phelan-Mcdermid syndrome)	22	50607088	50749416	Heterozygous	Deletion	Autism|Delayed speech and language development|Hyperactivity|Intellectual disability|Muscular hypotonia	HP:0000717|HP:0000750|HP:0000752|HP:0001249|HP:0001252	12920066|15286229|15986041|16284256|17173049|18505557
2p15-16.1 microdeletion syndrome	2	59058561	61592680	Heterozygous	Deletion	Abnormal nasal morphology|Abnormality of digit|Abnormality of the palate|Abnormality of the philtrum|Central hypotonia|Cranial asymmetry|Delayed speech and language development|Downslanted palpebral fissures|Feeding difficulties|Global developmental delay|Intellectual disability|Microcephaly|Prominent epicanthal folds|Ptosis|Telecanthus	HP:0005105|HP:0011297|HP:0000174|HP:0000288|HP:0011398|HP:0000267|HP:0000750|HP:0000494|HP:0011968|HP:0001263|HP:0001249|HP:0000252|HP:0007930|HP:0000508|HP:0000506	16963482|18245392|27699255
2p21 Microdeletion Syndrome	2	44183312	44362445	Heterozygous	Deletion			11524703|15913950|16385448|18234729|18781961
2q33.1 deletion syndrome	2	196060397	204342216	Heterozygous	Deletion	Behavioural/Psychiatric Abnormality|Cleft palate|Feeding difficulties in infancy|High palate|Inguinal hernia|Intellectual disability|Seizures|Short stature	HP:0000708|HP:0000175|HP:0008872|HP:0000218|HP:0000023|HP:0001249|HP:0001250|HP:0004322	12915443|16179223
